ev_workplace_charging,CHADEMO,J1772,J1772COMBO,NEMA515,NEMA520,TESLA,status_code_E,status_code_P,status_code_T,access_code_cleaned,ev_network_encoded,longitude,latitude,station_region_encoded,station_subregion_encoded,access_hours,ev_level2_evse_num
0.0,0,1,0,0,0,0,1,0,0,1,92,0.3212049137968336,0.4078343460948304,0.005720823798627002,0.009449694274596998,1.0,0.005917159763313609
0.0,0,1,0,0,0,0,1,0,0,0,92,0.23665174429825697,0.5775746989900625,0.006292906178489702,0.010005558643690939,0.0,0.0029585798816568047
1.0,0,1,0,0,0,0,1,0,0,0,92,0.24767354257855345,0.6019528677843766,0.006864988558352403,0.01056142301278488,0.0,0.08284023668639053
1.0,1,1,0,0,0,0,1,0,0,0,92,0.24673710688688288,0.6100734776307419,0.006864988558352403,0.01111728738187882,0.0,0.0029585798816568047
0.0,1,0,0,0,0,0,1,0,0,1,92,0.24673710688688288,0.6100734776307419,0.006864988558352403,0.01111728738187882,0.41666666666666663,0.0
1.0,0,1,0,0,0,0,1,0,0,1,92,0.24643824443211315,0.6025574202276758,0.006864988558352403,0.011673151750972763,0.0,0.011834319526627219
1.0,0,1,0,1,0,0,1,0,0,0,92,0.23794681493561143,0.6072108401154779,0.007437070938215103,0.012229016120066704,0.0,0.011834319526627219
0.0,1,1,1,0,0,0,1,0,0,1,34,0.4907446033534768,0.5815287987542916,0.008009153318077803,0.012784880489160644,0.0,0.11834319526627218
0.0,0,1,0,0,0,0,1,0,0,0,34,0.49206831497613734,0.5837901516773059,0.008581235697940504,0.013340744858254585,0.0,0.029585798816568046
1.0,0,1,0,0,0,0,1,0,0,0,34,0.49206831497613734,0.5837901516773059,0.009153318077803204,0.013896609227348526,0.0,0.05917159763313609
0.0,0,1,0,0,0,0,1,0,0,1,92,0.4964491404591058,0.5817510126253325,0.009725400457665904,0.014452473596442467,0.0,0.011834319526627219
0.0,0,1,0,0,0,0,1,0,0,1,34,0.4919425436930567,0.5850450064785093,0.010297482837528604,0.015008337965536408,0.0,0.11834319526627218
0.0,1,1,1,0,0,0,1,0,0,1,34,0.488384835220927,0.5891151149548293,0.010869565217391304,0.01556420233463035,0.0,0.11834319526627218
1.0,0,1,0,0,0,0,1,0,0,0,92,0.5137457103188297,0.5867529244624805,0.011441647597254004,0.01612006670372429,0.0,0.056213017751479286
1.0,0,1,0,0,0,0,1,0,0,0,34,0.5823882845917296,0.5765518616130549,0.012013729977116704,0.016675931072818232,0.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,34,0.535522915901339,0.5905660408187288,0.012585812356979404,0.01723179544191217,0.0,0.029585798816568046
0.0,0,1,0,0,0,0,1,0,0,1,34,0.5828241256716353,0.5741581607227246,0.009725400457665904,0.017787659811006114,1.0,0.011834319526627219
1.0,0,1,0,0,0,0,1,0,0,0,34,0.5885187006954595,0.5697106154507239,0.009725400457665904,0.018343524180100056,0.5,0.01775147928994083
0.0,0,1,0,0,0,0,1,0,0,1,92,0.5113648674731621,0.5824634041531169,0.013157894736842105,0.018899388549193995,1.0,0.029585798816568046
0.0,0,1,0,0,0,0,1,0,0,1,92,0.16226487930310896,0.5806758896315998,0.013729977116704806,0.019455252918287938,0.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,92,0.5184678318151441,0.6065997519701085,0.014302059496567507,0.020011117287381877,0.0,0.014792899408284023
1.0,0,1,0,0,0,0,1,0,0,0,34,0.5005834044169148,0.3663015932407703,0.014874141876430207,0.02056698165647582,1.0,0.10946745562130178
0.0,0,1,0,0,0,0,1,0,0,1,92,0.3941049380794084,0.6622365499335814,0.015446224256292907,0.02112284602556976,0.6666666666666666,0.0029585798816568047
1.0,0,1,0,0,0,0,1,0,0,0,34,0.4601448237645229,0.5328165771547759,0.016018306636155607,0.0216787103946637,0.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,34,0.586053085443524,0.5719605308950833,0.016590389016018305,0.02223457476375764,0.0,0.056213017751479286
0.0,0,1,0,0,0,0,1,0,0,1,34,0.44033024301248247,0.5196520392207447,0.017162471395881007,0.022790439132851583,0.0,0.11834319526627218
0.0,0,1,0,0,0,0,1,0,0,1,92,0.3546301888436858,0.6100146563119324,0.017734553775743706,0.023346303501945526,1.0,0.01775147928994083
0.0,0,1,0,0,0,0,1,0,0,1,92,0.4680497356934836,0.5812412278623498,0.018306636155606407,0.023902167871039465,1.0,0.03254437869822485
