access_code,status_code,geocode_status,latitude,longitude,state,ev_level2_evse_num,ev_network,ev_workplace_charging,con_CHADEMO,con_J1772,con_J1772COMBO,con_NEMA520,con_NEMA515,con_TESLA,con_NEMA1450,access_days,access_hours,weekday_access,weekend_access,daily_access,total_weekly_hours,availability_class,is_24_7,primary_use_case,avg_distance_km,area_type,log_avg_distance_km,connector_count,connector_diversity
public,E,GPS,34.267352,-119.2124,CA,3.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,9.0,True,False,False,45.0,Medium,0,Commuter,0.23419284690375966,Urban,0.21041719115295038,1,0.14285714285714285
public,E,GPS,34.268756,-119.2154,CA,3.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,9.0,True,False,False,45.0,Medium,0,Commuter,0.45464932786160334,Urban,0.3747648597964829,1,0.14285714285714285
public,E,GPS,34.268,-119.2492,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5686023509096169,Urban,0.4501850005264145,1,0.14285714285714285
private,E,200-9,33.917593,-118.425334,CA,21.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,1.8277566424172171,Rural,1.039483691438076,1,0.14285714285714285
public,E,GPS,38.539336,-121.732405,CA,3.0,Non-Networked,0.0,False,True,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5706539336337806,Urban,0.4514920508786515,2,0.2857142857142857
private,E,GPS,35.25939,-120.64492,CA,1.0,Non-Networked,0.0,False,True,False,True,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,1.321332965400385,Rural,0.8421415747371246,2,0.2857142857142857
private,E,200-8,33.773005,-118.265821,CA,8.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.37110144092307673,Urban,0.3156143883047809,1,0.14285714285714285
public,E,GPS,38.66292,-121.2634,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.8822859834658854,Rural,0.6324869868270889,1,0.14285714285714285
public,E,200-9,38.57277,-121.467902,CA,2.0,Non-Networked,0.0,False,True,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.1176220414925992,Rural,0.7502937805905052,2,0.2857142857142857
public,E,GPS,38.7042,-121.365,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,4.0637475027935634,Rural,1.6221068223810624,1,0.14285714285714285
private,E,200-8,38.615468,-121.517263,CA,1.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.5987227667420878,Rural,0.4692050396717524,1,0.14285714285714285
public,E,GPS,38.552483,-121.4487,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.3261691615820431,Urban,0.28229445646408496,1,0.14285714285714285
public,E,GPS,38.524403,-121.5112,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.24758568647297433,Urban,0.22121023283620594,1,0.14285714285714285
public,E,GPS,38.73323,-120.78962,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.5155789745995312,Urban,0.4157975274080798,1,0.14285714285714285
public,E,GPS,38.356027,-121.9628,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.4591738006516783,Urban,0.3778703855794842,1,0.14285714285714285
public,E,GPS,38.36557,-121.967,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.18967799284753198,Urban,0.1736826762604379,1,0.14285714285714285
public,E,GPS,38.35172,-121.987,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5004982635247088,Urban,0.4057972286331758,1,0.14285714285714285
public,E,200-9,38.356907,-122.001886,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.087210446136615,Rural,0.7358284596844188,1,0.14285714285714285
